antigen,folder_name,pdb_file,chain
Hs~Ref:NM_033185.2~uORF:IOH40389,../../antigens/alphafold_pdb/,Q9BYR6.pdb,A
Hs~Ref:NM_020415.2~uORF:IOH40390,../../antigens/alphafold_pdb/,Q9HD89.pdb,A
Hs~MGC:BC012885.1~uORF:IOH10554,../../antigens/alphafold_pdb/,Q6UX71.pdb,A
Hs~Ref:NM_000860.1~uORF:IOH14612,../../antigens/alphafold_pdb/,P15428.pdb,A
Hs~MGC:BC017314.2~uORF:IOH14156,../../antigens/alphafold_pdb/,P14921.pdb,A
Hs~Ref:NM_004475.1~uORF:IOH14024,../../antigens/alphafold_pdb/,Q14254.pdb,A
Hs~MGC:BC001256.1~uORF:IOH3240,../../antigens/alphafold_pdb/,Q8WY98.pdb,A
Hs~Ref:NM_005274.1~uORF:IOH4556,../../antigens/alphafold_pdb/,P63218.pdb,A
Hs~MGC:BC012021.1~uORF:IOH10818,../../antigens/alphafold_pdb/,Q96EQ8.pdb,A
Hs~Ref:NM_017491.3~uORF:IOH3975,../../antigens/alphafold_pdb/,O75083.pdb,A
Hs~Ref:NM_006067.3~uORF:IOH3988,../../antigens/alphafold_pdb/,O43402.pdb,A
Hs~MGC:BC003610.2~uORF:IOH3899,../../antigens/alphafold_pdb/,Q08431.pdb,A
Hs~Ref:NM_152716.1~uORF:IOH38079,../../antigens/alphafold_pdb/,Q86TB9.pdb,A
Hs~Ref:NM_005893.1~uORF:IOH2471,../../antigens/alphafold_pdb/,Q13939.pdb,A
Hs~MGC:BC044884.1~uORF:IOH26494,../../antigens/alphafold_pdb/,Q6PID8.pdb,A
Hs~Ref:NM_080670.2~uORF:IOH14509,../../antigens/alphafold_pdb/,Q96G79.pdb,A
Hs~MGC:BC022253.1~uORF:IOH13441,../../antigens/alphafold_pdb/,Q9H2J7.pdb,A
Hs~MGC:BC008788.2~uORF:IOH6237,../../antigens/alphafold_pdb/,Q96HA4.pdb,A
Hs~Ref:NM_201521.1~uORF:IOH43964,../../antigens/alphafold_pdb/,Q9NSK0.pdb,A
Hs~Ref:NM_018416.2~uORF:IOH44054,../../antigens/alphafold_pdb/,Q9P0K8.pdb,A
Hs~MGC:BC000162.2~uORF:IOH2911,../../antigens/alphafold_pdb/,Q9Y3F4.pdb,A
Hs~Ref:NM_004544.1~uORF:IOH3043,../../antigens/alphafold_pdb/,O95299.pdb,A
Hs~Ref:NM_000107.1~uORF:IOH4740,../../antigens/alphafold_pdb/,Q92466.pdb,A
Hs~MGC:BC005253.1~uORF:IOH7296,../../antigens/alphafold_pdb/,Q9Y2M5.pdb,A
Hs~Ref:NM_015488.1~uORF:IOH22386,../../antigens/alphafold_pdb/,Q8N490.pdb,A
Hs~Ref:NM_080745.1~uORF:IOH27453,../../antigens/alphafold_pdb/,Q86WT6.pdb,A
Hs~Ref:NM_002725.1~uORF:IOH21892,../../antigens/alphafold_pdb/,P51888.pdb,A
Hs~MGC:BC001284.1~uORF:IOH3090,../../antigens/alphafold_pdb/,Q8N2A0.pdb,A
Hs~MGC:BC035938.1~uORF:IOH26798,../../antigens/alphafold_pdb/,Q16653.pdb,A
Hs~Ref:NM_033423.1~uORF:IOH22624,../../antigens/alphafold_pdb/,P20718.pdb,A
Hs~MGC:AB065722.1~uORF:IOH28152,../../antigens/alphafold_pdb/,Q15612.pdb,A
Hs~MGC:BC032390.1~uORF:IOH27534,../../antigens/alphafold_pdb/,Q8NDZ2.pdb,A
Hs~MGC:BC001327.1~uORF:IOH3125,../../antigens/alphafold_pdb/,Q12894.pdb,A
Hs~MGC:BC007633.1~uORF:IOH6965,../../antigens/alphafold_pdb/,Q9UKV8.pdb,A
Hs~MGC:BC007526.1~uORF:IOH6827,../../antigens/alphafold_pdb/,Q96GJ1.pdb,A
Hs~Ref:NM_134427.1~uORF:IOH45474,../../antigens/alphafold_pdb/,P49796.pdb,A
Hs~Ref:NM_005738.1~uORF:IOH5077,../../antigens/alphafold_pdb/,P40617.pdb,A
Hs~MGC:BC008051.2~uORF:IOH7014,../../antigens/alphafold_pdb/,P49674.pdb,A
Hs~MGC:NM_173474.2~uORF:IOH13254,../../antigens/alphafold_pdb/,Q96AB6.pdb,A
Hs~Ref:NM_005138.1~uORF:IOH1913,../../antigens/alphafold_pdb/,O43819.pdb,A
Hs~Ref:NM_018438.2~uORF:IOH1960,../../antigens/alphafold_pdb/,Q9NRD1.pdb,A
Hs~Ref:NM_000067.1~uORF:IOH1900,../../antigens/alphafold_pdb/,P00918.pdb,A
Hs~MGC:BC010425.1~uORF:IOH27813,../../antigens/alphafold_pdb/,Q15067.pdb,A
Hs~Ref:NM_052969.1~uORF:IOH12514,../../antigens/alphafold_pdb/,Q96EH5.pdb,A
Hs~MGC:BC011735.2~uORF:IOH13045,../../antigens/alphafold_pdb/,Q9NRY6.pdb,A
Hs~Ref:NM_001197.3~uORF:IOH4916,../../antigens/alphafold_pdb/,Q13323.pdb,A
Hs~Ref:NM_001493.1~uORF:IOH3509,../../antigens/alphafold_pdb/,P31150.pdb,A
Hs~Ref:NM_181578.1~uORF:IOH45838,../../antigens/alphafold_pdb/,P40937.pdb,A
Hs~Ref:NM_017847.3~uORF:IOH45570,../../antigens/alphafold_pdb/,Q5SWX8.pdb,A
Hs~Ref:NM_133491.2~uORF:IOH12374,../../antigens/alphafold_pdb/,Q96F10.pdb,A
Hs~Ref:NM_001011658.1~uORF:IOH12376,../../antigens/alphafold_pdb/,P0DI81.pdb,A
Hs~MGC:BC027478.1~uORF:IOH22847,../../antigens/alphafold_pdb/,Q6UY14.pdb,A
Hs~MGC:BC040924.1~uORF:IOH26332,../../antigens/alphafold_pdb/,Q17RD7.pdb,A
Hs~MGC:NM_020783.2~uORF:IOH22458,../../antigens/alphafold_pdb/,Q9H2B2.pdb,A
Hs~Ref:NM_033014.1~uORF:IOH27143,../../antigens/alphafold_pdb/,P20774.pdb,A
Hs~Ref:NM_025108.1~uORF:IOH13954,../../antigens/alphafold_pdb/,Q7L2K0.pdb,A
Hs~Ref:NM_001673.2~uORF:IOH5751,../../antigens/alphafold_pdb/,P08243.pdb,A
Hs~Ref:NM_003794.1~uORF:IOH14878,../../antigens/alphafold_pdb/,O95219.pdb,A
Hs~MGC:BC021120.1~uORF:IOH14846,../../antigens/alphafold_pdb/,Q9BWF3.pdb,A
Hs~Ref:NM_032933.1~uORF:IOH6290,../../antigens/alphafold_pdb/,Q8IWT6.pdb,A
Hs~Ref:NM_024563.1~uORF:IOH23059,../../antigens/alphafold_pdb/,Q9NRP7.pdb,A
Hs~Ref:NM_079422.1~uORF:IOH7150,../../antigens/alphafold_pdb/,P05976.pdb,A
Hs~Ref:NM_014055.1~uORF:IOH23043,../../antigens/alphafold_pdb/,Q8WYA0.pdb,A
Hs~MGC:BC006456.1~uORF:IOH5963,../../antigens/alphafold_pdb/,Q9Y4E1.pdb,A
Hs~Ref:NM_138801.1~uORF:IOH10118,../../antigens/alphafold_pdb/,Q96C23.pdb,A
Hs~Ref:NM_032146.2~uORF:IOH10608,../../antigens/alphafold_pdb/,Q9H0F7.pdb,A
Hs~Ref:NM_014380.1~uORF:IOH4519,../../antigens/alphafold_pdb/,Q00994.pdb,A
Hs~MGC:BC004888.2~uORF:IOH5668,../../antigens/alphafold_pdb/,Q5VX71.pdb,A
Hs~Ref:NM_024322.1~uORF:IOH5713,../../antigens/alphafold_pdb/,Q9BU64.pdb,A
Hs~Ref:NM_003801.2~uORF:IOH4597,../../antigens/alphafold_pdb/,O43292.pdb,A
Hs~Ref:NM_032704.1~uORF:IOH5513,../../antigens/alphafold_pdb/,Q9BQE3.pdb,A
Hs~MGC:BC019337.1~uORF:IOH12297,../../antigens/alphafold_pdb/,P0DOX5.pdb,A
Hs~Ref:NM_003986.1~uORF:IOH12345,../../antigens/alphafold_pdb/,O75936.pdb,A
Hs~MGC:BC010901.1~uORF:IOH13498,../../antigens/alphafold_pdb/,Q8WWK9.pdb,A
Hs~MGC:BC014532.1~uORF:IOH12798,../../antigens/alphafold_pdb/,Q96C86.pdb,A
Hs~MGC:BC016148.1~uORF:IOH10092,../../antigens/alphafold_pdb/,Q9Y287.pdb,A
Hs~Ref:NM_002403.2~uORF:IOH10065,../../antigens/alphafold_pdb/,P55001.pdb,A
