nodo:ID,:LABEL
XN_1,PROTEIN2
XN_2,PROTEIN2
XN_3,PROTEIN2
XN_4,PROTEIN2
XN_5,PROTEIN2
XN_6,PROTEIN2
XN_7,PROTEIN2
XN_8,PROTEIN2
XN_9,PROTEIN2
XN_10,PROTEIN2
XN_11,PROTEIN2
XN_12,PROTEIN2
XN_13,PROTEIN2
XN_14,PROTEIN2
XN_15,PROTEIN2
XN_16,PROTEIN2
XN_17,PROTEIN2
XN_18,PROTEIN2
XN_19,PROTEIN2
XN_20,PROTEIN2
XN_21,PROTEIN2
XN_22,PROTEIN2
XN_23,PROTEIN2
XN_24,PROTEIN2
XN_25,PROTEIN2
XN_26,PROTEIN2
XN_27,PROTEIN2
XN_28,PROTEIN2
XN_29,PROTEIN2
XN_30,PROTEIN2
XN_31,PROTEIN2
XN_32,PROTEIN2
XN_33,PROTEIN2
XN_34,PROTEIN2
XN_35,PROTEIN2
XN_36,PROTEIN2
XN_37,PROTEIN2
XN_38,PROTEIN2
XN_39,PROTEIN2
XN_40,PROTEIN2
XN_41,PROTEIN2
XN_42,PROTEIN2
XN_43,PROTEIN2
XN_44,PROTEIN2
XN_45,PROTEIN2
XN_46,PROTEIN2
XN_47,PROTEIN2
XN_48,PROTEIN2
XN_49,PROTEIN2
XN_50,PROTEIN2
XN_51,PROTEIN2
XN_52,PROTEIN2
XN_53,PROTEIN2
XN_54,PROTEIN2
XN_55,PROTEIN2
XN_56,PROTEIN2
XN_57,PROTEIN2
XN_58,PROTEIN2
XN_59,PROTEIN2
XN_60,PROTEIN2
XN_61,PROTEIN2
XN_62,PROTEIN2
XN_63,PROTEIN2
XN_64,PROTEIN2
XN_65,PROTEIN2
XN_66,PROTEIN2
XN_67,PROTEIN2
XN_68,PROTEIN2
XN_69,PROTEIN2
XN_70,PROTEIN2
XN_71,PROTEIN2
XN_72,PROTEIN2
XN_73,PROTEIN2
XN_74,PROTEIN2
XN_75,PROTEIN2
XN_76,PROTEIN2
XN_77,PROTEIN2
XN_78,PROTEIN2
XN_79,PROTEIN2
XN_80,PROTEIN2
XN_81,PROTEIN2
XN_82,PROTEIN2
XN_83,PROTEIN2
XN_84,PROTEIN2
XN_85,PROTEIN2
XN_86,PROTEIN2
XN_87,PROTEIN2
XN_88,PROTEIN2
XN_89,PROTEIN2
XN_90,PROTEIN2
XN_91,PROTEIN2
XN_92,PROTEIN2
XN_93,PROTEIN2
XN_94,PROTEIN2
XN_95,PROTEIN2
XN_96,PROTEIN2
XN_97,PROTEIN2
XN_98,PROTEIN2
XN_99,PROTEIN2
XN_100,PROTEIN2
XN_101,PROTEIN2
XN_102,PROTEIN2
XN_103,PROTEIN2
XN_104,PROTEIN2
XN_105,PROTEIN2
XN_106,PROTEIN2
XN_107,PROTEIN2
XN_108,PROTEIN2
XN_109,PROTEIN2
XN_110,PROTEIN2
XN_111,PROTEIN2
XN_112,PROTEIN2
XN_113,PROTEIN2
XN_114,PROTEIN2
XN_115,PROTEIN2
XN_116,PROTEIN2
XN_117,PROTEIN2
XN_118,PROTEIN2
XN_119,PROTEIN2
XN_120,PROTEIN2
XN_121,PROTEIN2
XN_122,PROTEIN2
XN_123,PROTEIN2
XN_124,PROTEIN2
XN_125,PROTEIN2
XN_126,PROTEIN2
XN_127,PROTEIN2
XN_128,PROTEIN2
XN_129,PROTEIN2
XN_130,PROTEIN2
XN_131,PROTEIN2
XN_132,PROTEIN2
XN_133,PROTEIN2
XN_134,PROTEIN2
XN_135,PROTEIN2
XN_136,PROTEIN2
XN_137,PROTEIN2
XN_138,PROTEIN2
XN_139,PROTEIN2
XN_140,PROTEIN2
XN_141,PROTEIN2
XN_142,PROTEIN2
XN_143,PROTEIN2
XN_144,PROTEIN2
XN_145,PROTEIN2
XN_146,PROTEIN2
XN_147,PROTEIN2
XN_148,PROTEIN2
XN_149,PROTEIN2
XN_150,PROTEIN2
XN_151,PROTEIN2
XN_152,PROTEIN2
XN_153,PROTEIN2
XN_154,PROTEIN2
XN_155,PROTEIN2
XN_156,PROTEIN2
XN_157,PROTEIN2
XN_158,PROTEIN2
XN_159,PROTEIN2
XN_160,PROTEIN2
XN_161,PROTEIN2
XN_162,PROTEIN2
XN_163,PROTEIN2
XN_164,PROTEIN2
XN_165,PROTEIN2
XN_166,PROTEIN2
XN_167,PROTEIN2
XN_168,PROTEIN2
XN_169,PROTEIN2
XN_170,PROTEIN2
XN_171,PROTEIN2
XN_172,PROTEIN2
XN_173,PROTEIN2
XN_174,PROTEIN2
XN_175,PROTEIN2
XN_176,PROTEIN2
XN_177,PROTEIN2
XN_178,PROTEIN2
XN_179,PROTEIN2
XN_180,PROTEIN2
XN_181,PROTEIN2
XN_182,PROTEIN2
XN_183,PROTEIN2
XN_184,PROTEIN2
XN_185,PROTEIN2
XN_186,PROTEIN2
XN_187,PROTEIN2
XN_188,PROTEIN2
XN_189,PROTEIN2
XN_190,PROTEIN2
XN_191,PROTEIN2
XN_192,PROTEIN2
XN_193,PROTEIN2
XN_194,PROTEIN2
XN_195,PROTEIN2
XN_196,PROTEIN2
XN_197,PROTEIN2
XN_198,PROTEIN2
XN_199,PROTEIN2
XN_200,PROTEIN2
XN_201,PROTEIN2
XN_202,PROTEIN2
XN_203,PROTEIN2
XN_204,PROTEIN2
XN_205,PROTEIN2
XN_206,PROTEIN2
XN_207,PROTEIN2
XN_208,PROTEIN2
XN_209,PROTEIN2
XN_210,PROTEIN2
XN_211,PROTEIN2
XN_212,PROTEIN2
XN_213,PROTEIN2
XN_214,PROTEIN2
XN_215,PROTEIN2
XN_216,PROTEIN2
XN_217,PROTEIN2
XN_218,PROTEIN2
XN_219,PROTEIN2
XN_220,PROTEIN2
XN_221,PROTEIN2
