:START_ID,val,:END_ID,:TYPE
N_9843,4.04006653206296,N_6999,ENLACE
N_8190,3.151275703892501,N_8421,ENLACE
N_5401,3.400642491657523,N_3557,ENLACE
N_8919,5.804947521996593,N_1210,ENLACE
N_1328,0.060177922608650736,N_4484,ENLACE
N_8592,9.959466717534012,N_3048,ENLACE
N_8492,4.845245832477184,N_3141,ENLACE
N_3090,8.436586395957818,N_3544,ENLACE
N_7637,1.5336978924109934,N_5634,ENLACE
N_1025,3.002714522478537,N_3639,ENLACE
N_2224,3.034608711860425,N_908,ENLACE
N_5067,0.8663765458390127,N_8757,ENLACE
N_2524,6.8778424512237635,N_7939,ENLACE
N_8913,3.2842669505480595,N_6201,ENLACE
N_506,4.441931495459809,N_2660,ENLACE
N_9527,0.5484932320390468,N_8710,ENLACE
N_8342,8.426285391452286,N_4943,ENLACE
N_5011,2.288450871175237,N_339,ENLACE
N_4852,1.1825656073741508,N_1039,ENLACE
N_4128,6.016104460110702,N_9790,ENLACE
N_9584,1.632815705250854,N_746,ENLACE
N_5649,7.9582846566840635,N_6838,ENLACE
N_204,2.619804678639132,N_7943,ENLACE
N_402,9.090778427368285,N_9007,ENLACE
N_3462,8.538097988027186,N_1402,ENLACE
N_169,7.867346958273219,N_871,ENLACE
N_1286,1.6852334801044233,N_7042,ENLACE
N_9918,6.395643573991311,N_5844,ENLACE
N_9944,2.493241193931234,N_38,ENLACE
N_8855,5.104575418146855,N_7662,ENLACE
N_2649,1.8987914617083623,N_7807,ENLACE
N_3003,8.95734328414649,N_218,ENLACE
N_4181,2.217193477892164,N_7436,ENLACE
N_9644,9.628017140768916,N_7670,ENLACE
N_9769,3.9445394002526326,N_7263,ENLACE
N_5408,5.0375632206013465,N_3868,ENLACE
N_1948,7.0512264067814865,N_2270,ENLACE
N_1002,6.8157381460380275,N_5465,ENLACE
N_9257,4.850541746697199,N_9335,ENLACE
N_3615,6.094867420275893,N_6532,ENLACE
N_472,6.1866015760366295,N_6216,ENLACE
N_6267,5.576744924414383,N_2198,ENLACE
N_3735,7.472430230952538,N_8464,ENLACE
N_2952,1.0404896382021978,N_2364,ENLACE
N_4802,9.539399377946088,N_2905,ENLACE
N_89,2.799388251896018,N_5900,ENLACE
N_9646,7.732539193058788,N_2682,ENLACE
N_2533,9.682024254519991,N_9844,ENLACE
N_8735,4.833695271000168,N_5964,ENLACE
N_9749,8.906917300874074,N_6400,ENLACE
N_2474,2.2785086722756676,N_1980,ENLACE
N_5768,6.938112357633287,N_1323,ENLACE
N_5151,1.8468879992787268,N_3179,ENLACE
N_3435,7.4706940501317405,N_3149,ENLACE
N_1381,4.0888507853170655,N_4119,ENLACE
N_8217,6.200218268658149,N_2629,ENLACE
N_8829,1.7969850514296681,N_2799,ENLACE
N_1530,1.1999311994954465,N_5295,ENLACE
N_7869,3.850005297423993,N_814,ENLACE
N_9402,7.1334157349925595,N_2926,ENLACE
N_6240,8.79808241453661,N_9695,ENLACE
N_1840,4.666290650687529,N_6504,ENLACE
N_4780,7.668361083979413,N_4962,ENLACE
N_2651,9.793559703290617,N_2487,ENLACE
N_4748,9.205997736036158,N_1564,ENLACE
N_5742,2.1456148724563673,N_5590,ENLACE
N_244,3.668069348725221,N_1179,ENLACE
N_2004,9.273609559155387,N_7871,ENLACE
N_7493,1.5289130735094414,N_2651,ENLACE
N_7023,6.487071896988203,N_5863,ENLACE
N_7775,6.845552475122908,N_3491,ENLACE
N_3025,7.778013810499322,N_9416,ENLACE
N_8849,7.627693991207451,N_4628,ENLACE
N_3383,9.761734220563252,N_6565,ENLACE
N_7614,4.9921012752492615,N_2222,ENLACE
N_7314,2.4263601204603527,N_5358,ENLACE
N_5242,5.997673860784298,N_4229,ENLACE
N_3967,0.15987733847745766,N_6760,ENLACE
N_8516,8.316646014970509,N_4194,ENLACE
N_2658,4.312383828626621,N_1898,ENLACE
N_5414,6.268990253999518,N_433,ENLACE
N_3174,3.8904990347870227,N_1032,ENLACE
N_4675,3.066563532007626,N_5918,ENLACE
N_6843,0.9448303475454678,N_5383,ENLACE
N_9582,0.5269704967481414,N_2699,ENLACE
N_2334,6.413385794887788,N_4396,ENLACE
N_3193,7.272659088808303,N_6739,ENLACE
N_4181,5.676798483297391,N_9260,ENLACE
N_6712,8.633574862844922,N_1945,ENLACE
N_2804,3.370963039700421,N_1856,ENLACE
N_1014,5.370175368939611,N_972,ENLACE
N_1473,2.697167070477846,N_50,ENLACE
N_6702,3.27998511997544,N_9025,ENLACE
N_453,5.2964109240182555,N_5411,ENLACE
N_2429,1.4355884806469243,N_6095,ENLACE
N_1220,6.427587822593371,N_2867,ENLACE
N_2460,0.6453649240650328,N_9798,ENLACE
N_2910,6.7576947788814685,N_3433,ENLACE
N_5211,7.597723343601953,N_2901,ENLACE
N_1721,8.548030491598398,N_6282,ENLACE
N_6631,9.753752598306138,N_3459,ENLACE
N_332,6.2448325512205365,N_6322,ENLACE
N_5640,4.527180438580097,N_984,ENLACE
N_9069,8.6357631545914,N_5771,ENLACE
N_1653,7.935056970782277,N_9921,ENLACE
N_4113,8.18993628726567,N_5037,ENLACE
N_3811,5.340811601820626,N_4913,ENLACE
N_4196,1.9439438120968877,N_3214,ENLACE
N_7900,7.302399210617826,N_8268,ENLACE
N_1126,8.82567298059969,N_9327,ENLACE
N_2690,8.56978180400112,N_1364,ENLACE
N_810,8.786713901172764,N_2231,ENLACE
N_4666,5.447235624300043,N_5929,ENLACE
N_1460,5.881593727503265,N_6855,ENLACE
N_4516,3.6902024361471755,N_4730,ENLACE
N_7301,2.5394455772533773,N_6685,ENLACE
N_1551,3.1877499592856076,N_6375,ENLACE
N_5673,0.687897125870891,N_784,ENLACE
N_5485,7.115021775442828,N_6122,ENLACE
N_6725,0.45822490164681984,N_1116,ENLACE
N_9407,1.0246197747303254,N_1422,ENLACE
N_6809,4.087220780842323,N_7137,ENLACE
N_2930,7.8904339381356685,N_1432,ENLACE
N_8095,8.168696746232067,N_8087,ENLACE
N_4342,6.042167038309927,N_4792,ENLACE
N_7824,4.468283053367684,N_1429,ENLACE
N_1685,1.416660072342526,N_6646,ENLACE
N_400,6.7381856877894375,N_9326,ENLACE
N_7469,9.504129280744596,N_6387,ENLACE
N_2785,0.3405964605330025,N_6371,ENLACE
N_7565,3.352455190098891,N_701,ENLACE
N_2634,3.2675941788519225,N_7447,ENLACE
N_7783,1.2815089394603474,N_5921,ENLACE
N_4115,4.418995190307565,N_681,ENLACE
N_2686,0.1347047703353832,N_5904,ENLACE
N_3151,4.972981287060198,N_4418,ENLACE
N_796,7.587488702496604,N_4152,ENLACE
N_1579,1.6512829488270009,N_7577,ENLACE
N_1592,3.4129145765899374,N_4610,ENLACE
N_1021,3.368845733376755,N_8077,ENLACE
N_6248,9.358769314323283,N_2899,ENLACE
N_8085,9.620935141727532,N_8700,ENLACE
N_2297,5.490293549496418,N_2438,ENLACE
N_4497,9.485179153737775,N_373,ENLACE
N_6550,9.783238546067638,N_8024,ENLACE
N_8317,2.6803302866153156,N_488,ENLACE
N_6733,6.6305633404882265,N_5061,ENLACE
N_490,6.074149970456693,N_9842,ENLACE
N_9387,8.848661825301406,N_5767,ENLACE
N_7325,4.062096783254004,N_9292,ENLACE
N_2227,0.4899446203066271,N_4858,ENLACE
N_9392,0.002921182104258513,N_1615,ENLACE
N_4999,8.79078791794852,N_5983,ENLACE
N_5092,4.514456941494055,N_4575,ENLACE
N_1335,2.9316824266188055,N_8233,ENLACE
N_8126,9.21468075762718,N_2603,ENLACE
N_3022,8.46633814408817,N_6394,ENLACE
N_424,4.442578952033013,N_8006,ENLACE
N_4562,9.766423048543105,N_7913,ENLACE
N_312,0.7265436975750827,N_5465,ENLACE
N_5096,1.7968211328457928,N_460,ENLACE
N_780,0.8199990457234441,N_1138,ENLACE
N_7559,6.719049795774285,N_9167,ENLACE
N_6332,8.789816643292864,N_3082,ENLACE
N_3575,1.6678927502172525,N_3228,ENLACE
N_5966,8.457048042584246,N_8276,ENLACE
N_5348,6.374514518500156,N_7970,ENLACE
N_4437,0.4027315427001432,N_816,ENLACE
N_6953,1.7106408206761214,N_2837,ENLACE
N_6352,2.938652623134763,N_9693,ENLACE
N_8716,7.907059419970204,N_8050,ENLACE
N_8779,1.5903262720897926,N_3061,ENLACE
N_8567,5.018007100728823,N_6399,ENLACE
N_35,9.765545823966107,N_1411,ENLACE
N_3736,4.661923844513116,N_3042,ENLACE
N_1575,7.769167744427924,N_8552,ENLACE
N_2838,3.1057361127197547,N_2354,ENLACE
N_7158,9.169644939641469,N_153,ENLACE
N_5223,7.110833407747386,N_919,ENLACE
N_763,7.706233101818555,N_9447,ENLACE
N_5856,3.146839794835299,N_311,ENLACE
N_8891,3.520531932934481,N_5740,ENLACE
N_8904,9.966153768677014,N_2972,ENLACE
N_9772,2.6764587849423416,N_2690,ENLACE
N_7745,2.4278360629361795,N_9537,ENLACE
N_9946,4.048180964103799,N_4059,ENLACE
N_3486,5.054489450008334,N_9933,ENLACE
N_4025,7.066622157811143,N_1583,ENLACE
N_8105,5.532380833066274,N_3241,ENLACE
N_8035,7.114523347291927,N_4072,ENLACE
N_8427,2.6257506326052837,N_2923,ENLACE
N_8764,9.493878669930224,N_3355,ENLACE
N_4029,5.75171071748977,N_6437,ENLACE
N_6533,4.72637882577464,N_4801,ENLACE
N_7895,6.9550324924131175,N_6848,ENLACE
N_4692,3.496383276535969,N_6022,ENLACE
N_8972,1.314821371637226,N_8293,ENLACE
N_401,6.849365340664017,N_9743,ENLACE
N_2663,4.9299145137994085,N_2619,ENLACE
N_276,4.6181634040698345,N_8170,ENLACE
N_2658,5.581665050259924,N_9272,ENLACE
N_5881,0.5423507926508797,N_1448,ENLACE
N_9345,5.618397802281794,N_546,ENLACE
N_178,7.595943135941622,N_4217,ENLACE
N_2641,1.248387728090673,N_3904,ENLACE
N_7299,8.91158132664139,N_5272,ENLACE
N_5602,7.147535867853004,N_8273,ENLACE
N_2040,9.811695446182346,N_4773,ENLACE
N_2596,2.2000357532047357,N_6178,ENLACE
N_3574,3.1671923383144254,N_1077,ENLACE
N_4344,9.280636196023229,N_3942,ENLACE
N_3102,9.551991436467164,N_5049,ENLACE
N_5794,6.333912302637607,N_7469,ENLACE
N_9346,0.46983629348239964,N_1987,ENLACE
N_385,4.873940243518319,N_9980,ENLACE
N_1446,1.6281890789869458,N_7356,ENLACE
N_1760,7.2935889939580285,N_9764,ENLACE
N_8888,8.620522801141567,N_9014,ENLACE
N_105,8.339458841450455,N_8978,ENLACE
N_6556,3.250255110889222,N_7994,ENLACE
N_5680,8.679934972932164,N_6330,ENLACE
N_7873,9.302914474308789,N_5955,ENLACE
N_5738,8.989506789815376,N_7200,ENLACE
N_2766,2.7421424188425227,N_7308,ENLACE
N_8909,4.395011334716657,N_9060,ENLACE
N_9319,1.9962138633776638,N_7799,ENLACE
N_810,9.184807173601893,N_4809,ENLACE
N_1946,0.17060690701678483,N_4797,ENLACE
N_6583,2.0447244389876396,N_518,ENLACE
N_6984,1.6880523391514146,N_6044,ENLACE
N_3735,6.1236973635625525,N_1022,ENLACE
N_3369,5.488849718236387,N_5686,ENLACE
N_4824,7.219518610243391,N_8637,ENLACE
N_1829,7.47485996716435,N_7028,ENLACE
N_5432,9.35682477009873,N_4996,ENLACE
N_6290,3.1020202680210884,N_7533,ENLACE
N_4383,2.4379080571326526,N_6553,ENLACE
N_7004,9.255218597835022,N_646,ENLACE
N_7908,9.294037149081419,N_4272,ENLACE
N_9375,7.2654344345731054,N_5457,ENLACE
N_3628,7.249501735729998,N_9430,ENLACE
N_972,3.484234467051456,N_5231,ENLACE
N_4814,9.687344056051014,N_5761,ENLACE
N_1975,2.097658852965305,N_9623,ENLACE
N_7086,6.8483214677223225,N_3308,ENLACE
N_5630,9.444845896225171,N_8009,ENLACE
N_9930,0.10080234707685931,N_1311,ENLACE
N_6061,8.88870656208804,N_2097,ENLACE
N_923,9.817979156599666,N_1593,ENLACE
N_9976,8.846075919761201,N_4803,ENLACE
N_4688,8.254840852137095,N_4132,ENLACE
N_2662,7.568900924058676,N_8005,ENLACE
N_4111,9.296085441601477,N_4541,ENLACE
N_5480,9.591261746533878,N_2016,ENLACE
N_6511,9.002531801364013,N_5604,ENLACE
N_5522,8.671749120021591,N_6587,ENLACE
N_572,3.7953171063988944,N_4557,ENLACE
N_7413,4.770799366381224,N_9588,ENLACE
N_9249,4.786700977383742,N_7228,ENLACE
N_8668,7.334914032675855,N_7694,ENLACE
N_7537,7.107796450074206,N_455,ENLACE
N_2899,0.48562176193344464,N_632,ENLACE
N_4443,2.8611914077295686,N_7569,ENLACE
N_2800,1.924679890714962,N_1464,ENLACE
N_5821,1.3150824121892812,N_5019,ENLACE
N_1582,4.7438103862463565,N_5051,ENLACE
N_9689,9.6262358277281,N_6718,ENLACE
N_933,6.210727104881394,N_3220,ENLACE
N_8892,8.092266436878019,N_6090,ENLACE
N_3328,3.5445547719675465,N_9645,ENLACE
N_1270,6.021851121134455,N_492,ENLACE
N_965,8.651713915772866,N_1068,ENLACE
N_6214,9.742042884626974,N_728,ENLACE
N_5998,2.4724859051685155,N_4158,ENLACE
