nodo:ID,:LABEL
N_1,PROTEIN
N_2,PROTEIN
N_3,PROTEIN
N_4,PROTEIN
N_5,PROTEIN
N_6,PROTEIN
N_7,PROTEIN
N_8,PROTEIN
N_9,PROTEIN
N_10,PROTEIN
N_11,PROTEIN
N_12,PROTEIN
N_13,PROTEIN
N_14,PROTEIN
N_15,PROTEIN
N_16,PROTEIN
N_17,PROTEIN
N_18,PROTEIN
N_19,PROTEIN
N_20,PROTEIN
N_21,PROTEIN
N_22,PROTEIN
N_23,PROTEIN
N_24,PROTEIN
N_25,PROTEIN
N_26,PROTEIN
N_27,PROTEIN
N_28,PROTEIN
N_29,PROTEIN
N_30,PROTEIN
N_31,PROTEIN
N_32,PROTEIN
N_33,PROTEIN
N_34,PROTEIN
N_35,PROTEIN
N_36,PROTEIN
N_37,PROTEIN
N_38,PROTEIN
N_39,PROTEIN
N_40,PROTEIN
N_41,PROTEIN
N_42,PROTEIN
N_43,PROTEIN
N_44,PROTEIN
N_45,PROTEIN
N_46,PROTEIN
N_47,PROTEIN
N_48,PROTEIN
N_49,PROTEIN
N_50,PROTEIN
N_51,PROTEIN
N_52,PROTEIN
N_53,PROTEIN
N_54,PROTEIN
N_55,PROTEIN
N_56,PROTEIN
N_57,PROTEIN
N_58,PROTEIN
N_59,PROTEIN
N_60,PROTEIN
N_61,PROTEIN
N_62,PROTEIN
N_63,PROTEIN
N_64,PROTEIN
N_65,PROTEIN
N_66,PROTEIN
N_67,PROTEIN
N_68,PROTEIN
N_69,PROTEIN
N_70,PROTEIN
N_71,PROTEIN
N_72,PROTEIN
N_73,PROTEIN
N_74,PROTEIN
N_75,PROTEIN
N_76,PROTEIN
N_77,PROTEIN
N_78,PROTEIN
N_79,PROTEIN
N_80,PROTEIN
N_81,PROTEIN
N_82,PROTEIN
N_83,PROTEIN
N_84,PROTEIN
N_85,PROTEIN
N_86,PROTEIN
N_87,PROTEIN
N_88,PROTEIN
N_89,PROTEIN
N_90,PROTEIN
N_91,PROTEIN
N_92,PROTEIN
N_93,PROTEIN
N_94,PROTEIN
N_95,PROTEIN
N_96,PROTEIN
N_97,PROTEIN
N_98,PROTEIN
N_99,PROTEIN
N_100,PROTEIN
N_101,PROTEIN
N_102,PROTEIN
N_103,PROTEIN
N_104,PROTEIN
N_105,PROTEIN
N_106,PROTEIN
N_107,PROTEIN
N_108,PROTEIN
N_109,PROTEIN
N_110,PROTEIN
N_111,PROTEIN
N_112,PROTEIN
N_113,PROTEIN
N_114,PROTEIN
N_115,PROTEIN
N_116,PROTEIN
N_117,PROTEIN
N_118,PROTEIN
N_119,PROTEIN
N_120,PROTEIN
N_121,PROTEIN
N_122,PROTEIN
N_123,PROTEIN
N_124,PROTEIN
N_125,PROTEIN
N_126,PROTEIN
N_127,PROTEIN
N_128,PROTEIN
N_129,PROTEIN
N_130,PROTEIN
N_131,PROTEIN
N_132,PROTEIN
N_133,PROTEIN
N_134,PROTEIN
N_135,PROTEIN
N_136,PROTEIN
N_137,PROTEIN
N_138,PROTEIN
N_139,PROTEIN
N_140,PROTEIN
N_141,PROTEIN
N_142,PROTEIN
N_143,PROTEIN
